"","predictions"
"1",211662.606724321
"2",307572.265146934
"3",92355.8598740316
"4",266484.060722947
"5",74089.5743662454
"6",117539.947639504
"7",183509.512089001
"8",367258.842651537
"9",167293.131859
"10",229668.234631335
"11",188159.818324602
"12",282759.172069344
"13",231036.114752364
"14",280381.628638154
"15",320812.477767174
"16",381507.070356063
"17",212934.630807068
"18",313616.992426332
"19",259570.344096056
"20",263494.220923799
"21",192234.698479064
"22",72865.715020082
"23",167769.846642849
"24",271543.597456289
"25",176854.132677853
"26",201764.843225213
"27",170367.540335311
"28",287810.353587807
"29",220606.433196771
"30",229716.206888493
"31",185972.643948268
"32",81637.190817428
"33",169615.217115487
"34",4915.06222304786
"35",243924.415049753
"36",236381.343480746
"37",239119.491620189
"38",77831.521667201
"39",249264.321789191
"40",139979.520709937
"41",223352.898468118
"42",242792.183670465
"43",296914.335412569
"44",127822.71232173
"45",157197.607500467
"46",212195.344888236
"47",168602.261193575
"48",345172.629492544
"49",194179.594367998
"50",68490.402917656
"51",310032.487023131
"52",232135.203756761
"53",164345.506504176
"54",267518.942504216
"55",290103.235804578
"56",220690.39687008
"57",139060.690275118
"58",253312.766063182
"59",178180.733790067
"60",214882.355499266
"61",170624.898372606
"62",186243.510525739
"63",190957.334650403
"64",192599.623594438
"65",113465.176973329
"66",226690.97796986
"67",203027.882085915
"68",291329.721992867
"69",214923.233704678
"70",142200.426369431
"71",206576.650237272
"72",87863.5954779475
"73",97347.6825143978
"74",207693.703148184
"75",303601.972931191
"76",126807.0362762
"77",228988.046277367
"78",173065.398014275
"79",289315.976617751
"80",258472.803844846
"81",221156.713430664
"82",79332.3255935938
"83",181380.275771364
"84",86455.0415179627
"85",97308.4656999358
"86",289138.229248952
"87",150611.210941383
"88",246733.339107521
"89",260840.575374876
"90",156886.762599076
"91",127454.306185458
"92",172498.28348343
"93",298296.846059605
"94",52302.731239179
"95",118058.613043216
"96",191859.23114495
"97",29426.6901874511
"98",219494.865905645
"99",94386.9370835958
"100",115327.441133137
"101",152013.386101262
"102",373056.824281083
"103",247132.500788953
"104",110266.816322614
"105",259354.530570956
"106",193237.394011759
"107",210211.428610739
"108",269158.05615866
"109",267300.660045362
"110",65345.9247980551
"111",171016.439581024
"112",109486.213667384
"113",31994.3111024355
"114",74575.6947635328
"115",328333.634708325
"116",260830.275247346
"117",93075.8755574959
"118",84955.8875773685
"119",79058.4344605646
"120",216098.685768516
"121",105610.994626207
"122",182464.547021509
"123",254665.375087946
"124",43576.0697862488
"125",206289.782471047
"126",184951.523258758
"127",303259.964222559
"128",278137.2368938
"129",145024.27835996
"130",165393.723401763
"131",84957.8736138373
"132",284409.955530218
"133",84521.0386669807
"134",274927.012489649
"135",288111.055630817
"136",237707.277330533
"137",9634.28710530669
"138",232435.98989613
"139",199806.796526272
"140",198198.502321908
"141",303674.307330408
"142",177965.981714035
"143",140860.569016122
"144",212904.472479768
"145",197709.570728511
"146",335507.461833089
"147",269348.306792519
"148",83895.2298231215
"149",286873.135098721
"150",125892.603002696
"151",217913.916655348
"152",205368.127583373
"153",211147.566588451
"154",102991.139642944
"155",86095.565265516
"156",146137.123647066
"157",264079.31956181
"158",234390.532397892
"159",301758.394990084
"160",183824.715946349
"161",298393.060877275
"162",160174.316328979
"163",352990.687359957
"164",353338.468253664
"165",132621.756237647
"166",10791.5062028827
"167",128164.302548291
"168",499042.610704275
"169",173786.263527128
"170",319267.666240823
"171",113612.247697843
"172",130709.104126416
"173",143024.972875957
"174",244503.432243706
"175",185371.215373911
"176",396893.030910221
"177",85981.8418094935
"178",104433.854240696
"179",156949.041637571
"180",62127.2431420977
"181",16155.9923448136
"182",304175.486373059
"183",166209.396935021
"184",139218.16473149
"185",206681.914023976
"186",487756.915767724
"187",272264.421894234
"188",63521.0238855046
"189",268623.930810933
"190",69407.32039218
"191",152445.920912914
"192",340654.323250123
"193",112291.595284406
"194",362024.970275364
"195",234727.39264535
"196",299216.872072794
"197",163314.855749849
"198",150537.295159906
"199",142916.308479045
"200",273712.285853926
"201",305158.202268235
"202",256897.025155312
"203",126155.345485238
"204",203183.178892292
"205",250492.016685498
"206",227132.096517423
"207",251588.356078628
"208",248132.711781124
"209",43774.790495896
"210",206533.640866641
"211",88977.5168379933
"212",83017.3340783184
"213",89229.6695128355
"214",295704.361225772
"215",296743.858147603
"216",190037.18128935
"217",105204.669054706
"218",234467.961265972
"219",138667.339804028
"220",129348.814764539
"221",49036.2214150042
"222",267651.128684987
"223",327377.692777118
"224",154382.53192306
"225",194750.961634314
"226",58709.6007637423
"227",66961.6238235792
"228",290281.568238512
"229",261216.936088174
"230",70443.0919142529
"231",158406.946846654
"232",282468.050053333
"233",146718.350198688
"234",268493.988878952
"235",315962.650716594
"236",233389.944981789
"237",193786.363204533
"238",211054.920086994
"239",276790.916139963
"240",350589.609397031
"241",187644.919780809
"242",326644.419148301
"243",500824.739209871
"244",246764.433608868
"245",164984.613110719
"246",185902.593406291
"247",279972.515983972
"248",64384.4250652336
"249",89870.485514548
"250",244037.051851052
"251",188240.403577403
"252",156516.943256334
"253",117760.88341371
"254",270847.436430431
"255",200260.049164006
"256",209148.290663035
"257",84513.1576677243
"258",82612.6473124933
"259",102940.044600873
"260",139263.061710221
"261",191082.187940107
"262",237099.105794893
"263",99188.8607934922
"264",157552.233980725
"265",201847.306930856
"266",303285.144246283
"267",244014.070712589
"268",259459.953602978
"269",103564.811928957
"270",118764.984485384
"271",149174.973158468
"272",189311.63404806
"273",334436.990822755
"274",166413.243647613
"275",284906.922215463
"276",387613.463651207
"277",22381.4930014295
"278",266246.485138313
"279",209315.506082328
"280",126010.680796197
"281",121495.715754595
"282",15552.8437183149
"283",167053.428844691
"284",25151.0191945481
"285",281476.002635243
"286",149279.897345302
"287",315831.544212114
"288",208143.854092692
"289",311685.154228608
"290",177930.692474405
"291",73041.2202686866
"292",213822.415506211
"293",430026.503233182
"294",241881.121418208
"295",232506.323120031
"296",254078.520298562
"297",369431.990043559
"298",435440.533788688
"299",159178.897781789
"300",123400.026910543
"301",223849.777316064
"302",318656.381429781
"303",251526.747001435
"304",94251.5447942585
