"id","median_house_value"
19109,212228.839332991
17007,306964.52899315
1229,89622.6292631064
18154,267024.745949424
20519,71347.4342664578
4499,119335.259645939
16552,183687.853847343
5303,365516.923466791
7573,167102.781181699
6412,229503.091224178
19301,190489.511877549
15919,279183.666025512
6707,231257.571703654
20304,281577.717358912
11611,320882.836321015
5518,378927.697661304
8917,211098.436781206
14706,314425.837645955
9153,259476.921771056
8434,263275.120859756
6202,193156.725167958
16377,73138.1486140326
33,166131.652551273
15016,272253.127267997
18575,172878.253074188
2224,202337.298060705
2278,170930.949601391
10158,287673.420790417
13523,221016.557088011
6865,229706.872039771
4779,186187.472244763
2326,83021.236810602
4132,163545.634159472
2800,3116.65292000443
5841,244715.437577087
6755,236099.389067295
4352,239602.996899744
2687,78614.0988948644
9725,248572.740822478
2232,139824.09977191
14030,223252.314179536
16859,240998.093600796
8994,297306.508613386
11828,127988.431745881
4289,149807.502648944
14228,213608.051148086
4473,168059.723523672
1539,342036.690101188
3717,191239.685901054
2900,70014.1586099964
15175,310578.319675612
9139,232127.990704079
14829,163988.68631748
20335,268794.278558769
8295,288876.475449383
11560,219734.990333193
16310,140342.69992569
549,250914.683068886
3789,179635.525220415
8230,213743.930321329
9068,170489.185984846
16345,187412.233077722
11143,190896.96888045
6792,191983.536140775
16538,115281.545571614
18540,227878.628012999
7741,203526.769382897
15497,292917.095644223
19339,215269.070039981
3341,143258.20332479
4655,204055.470540133
13465,90189.6545051307
19936,98941.0761547299
11052,205925.962755189
17268,304184.027403667
10920,121995.47559819
145,227812.021088799
20583,173251.464802399
8353,291544.632181749
5873,258190.803860106
6851,221486.927519606
12535,78677.6999063968
2544,180523.288487569
3229,88614.8248121119
18798,94661.147681696
16979,287305.508327597
4895,150791.874387731
9714,248816.460682285
10796,261516.632948308
206,153454.050173617
19641,128872.63836769
11931,172160.699328413
8902,298273.286091294
13723,54195.7251567186
19989,119947.944036315
13652,185915.988051898
2503,31691.4650579275
8681,220212.058830959
13057,95228.2835597799
7352,118759.61741079
4457,147582.344690167
6558,370575.530712149
5469,246412.970549838
12894,111504.000416991
